# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\IR\DE2_115_IR\de2_115_ir.csv
# Generated on: Sun Jun 06 09:43:14 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
NET0_GTX_CLK,Unknown,PIN_A17,7,B7_N2,2.5 V,
NET0_INT_n,Unknown,PIN_A21,7,B7_N1,2.5 V,
NET0_MDC,Unknown,PIN_C20,7,B7_N1,2.5 V,
NET0_MDIO,Unknown,PIN_B21,7,B7_N1,2.5 V,
NET0_RESET_n,Unknown,PIN_C19,7,B7_N1,2.5 V,
NET0_RX_CLK,Unknown,PIN_A15,7,B7_N2,2.5 V,
NET0_RX_COL,Unknown,PIN_E15,7,B7_N2,2.5 V,
NET0_RX_CRS,Unknown,PIN_D15,7,B7_N2,2.5 V,
NET0_RX_DATA[0],Unknown,PIN_C16,7,B7_N2,2.5 V,
NET0_RX_DATA[1],Unknown,PIN_D16,7,B7_N2,2.5 V,
NET0_RX_DATA[2],Unknown,PIN_D17,7,B7_N1,2.5 V,
NET0_RX_DATA[3],Unknown,PIN_C15,7,B7_N2,2.5 V,
NET0_RX_DV,Unknown,PIN_C17,7,B7_N1,2.5 V,
NET0_RX_ER,Unknown,PIN_D18,7,B7_N1,2.5 V,
NET0_TX_CLK,Unknown,PIN_B17,7,B7_N2,2.5 V,
NET0_TX_DATA[0],Unknown,PIN_C18,7,B7_N1,2.5 V,
NET0_TX_DATA[1],Unknown,PIN_D19,7,B7_N1,2.5 V,
NET0_TX_DATA[2],Unknown,PIN_A19,7,B7_N1,2.5 V,
NET0_TX_DATA[3],Unknown,PIN_B19,7,B7_N1,2.5 V,
NET0_TX_EN,Unknown,PIN_A18,7,B7_N1,2.5 V,
NET0_TX_ER,Unknown,PIN_B18,7,B7_N1,2.5 V,
NET1_GTX_CLK,Unknown,PIN_C23,7,B7_N0,2.5 V,
NET1_INT_n,Unknown,PIN_D24,7,B7_N0,2.5 V,
NET1_MDC,Unknown,PIN_D23,7,B7_N0,2.5 V,
NET1_MDIO,Unknown,PIN_D25,7,B7_N0,2.5 V,
NET1_RESET_n,Unknown,PIN_D22,7,B7_N0,2.5 V,
NET1_RX_CLK,Unknown,PIN_B15,7,B7_N2,2.5 V,
NET1_RX_COL,Unknown,PIN_B22,7,B7_N1,2.5 V,
NET1_RX_CRS,Unknown,PIN_D20,7,B7_N1,2.5 V,
NET1_RX_DATA[0],Unknown,PIN_B23,7,B7_N0,2.5 V,
NET1_RX_DATA[1],Unknown,PIN_C21,7,B7_N0,2.5 V,
NET1_RX_DATA[2],Unknown,PIN_A23,7,B7_N0,2.5 V,
NET1_RX_DATA[3],Unknown,PIN_D21,7,B7_N0,2.5 V,
NET1_RX_DV,Unknown,PIN_A22,7,B7_N1,2.5 V,
NET1_RX_ER,Unknown,PIN_C24,7,B7_N0,2.5 V,
NET1_TX_CLK,Unknown,PIN_C22,7,B7_N0,2.5 V,
NET1_TX_DATA[0],Unknown,PIN_C25,7,B7_N0,2.5 V,
NET1_TX_DATA[1],Unknown,PIN_A26,7,B7_N0,2.5 V,
NET1_TX_DATA[2],Unknown,PIN_B26,7,B7_N0,2.5 V,
NET1_TX_DATA[3],Unknown,PIN_C26,7,B7_N0,2.5 V,
NET1_TX_EN,Unknown,PIN_B25,7,B7_N0,2.5 V,
NET1_TX_ER,Unknown,PIN_A25,7,B7_N0,2.5 V,
OSC_50[0],Unknown,PIN_Y2,2,B2_N0,3.3-V LVTTL,
OSC_50[1],Unknown,PIN_AG14,3,B3_N0,3.3-V LVTTL,
OSC_50[2],Unknown,PIN_AG15,4,B4_N2,3.3-V LVTTL,
SMA_CLKIN,Unknown,PIN_AH14,3,B3_N0,3.3-V LVTTL,
HSMC_CLKIN0,Unknown,PIN_AH15,4,B4_N2,3.0-V LVTTL,
LEDG[0],Unknown,PIN_E21,7,B7_N0,2.5 V,
LEDG[1],Unknown,PIN_E22,7,B7_N0,2.5 V,
LEDG[2],Unknown,PIN_E25,7,B7_N1,2.5 V,
LEDG[3],Unknown,PIN_E24,7,B7_N1,2.5 V,
LEDG[4],Unknown,PIN_H21,7,B7_N2,2.5 V,
LEDG[5],Unknown,PIN_G20,7,B7_N1,2.5 V,
LEDG[6],Unknown,PIN_G22,7,B7_N2,2.5 V,
LEDG[7],Unknown,PIN_G21,7,B7_N1,2.5 V,
LEDG[8],Unknown,PIN_F17,7,B7_N2,2.5 V,
LEDR[0],Unknown,PIN_G19,7,B7_N2,2.5 V,
LEDR[2],Unknown,PIN_E19,7,B7_N0,2.5 V,
LEDR[1],Unknown,PIN_F19,7,B7_N0,2.5 V,
LEDR[3],Unknown,PIN_F21,7,B7_N0,2.5 V,
LEDR[4],Unknown,PIN_F18,7,B7_N1,2.5 V,
LEDR[5],Unknown,PIN_E18,7,B7_N1,2.5 V,
LEDR[6],Unknown,PIN_J19,7,B7_N2,2.5 V,
LEDR[7],Unknown,PIN_H19,7,B7_N2,2.5 V,
LEDR[8],Unknown,PIN_J17,7,B7_N2,2.5 V,
LEDR[9],Unknown,PIN_G17,7,B7_N1,2.5 V,
LEDR[10],Unknown,PIN_J15,7,B7_N2,2.5 V,
LEDR[11],Unknown,PIN_H16,7,B7_N2,2.5 V,
LEDR[12],Unknown,PIN_J16,7,B7_N2,2.5 V,
LEDR[13],Unknown,PIN_H17,7,B7_N2,2.5 V,
LEDR[14],Unknown,PIN_F15,7,B7_N2,2.5 V,
LEDR[15],Unknown,PIN_G15,7,B7_N2,2.5 V,
LEDR[16],Unknown,PIN_G16,7,B7_N2,2.5 V,
LEDR[17],Unknown,PIN_H15,7,B7_N2,2.5 V,
HSMC_CLKIN_p1,Input,PIN_J27,6,B6_N2,LVDS,
HSMC_CLKIN_n1,Unknown,PIN_J28,6,B6_N2,LVDS,
HSMC_CLKIN_p2,Input,PIN_Y27,5,B5_N0,LVDS,
HSMC_CLKIN_n2,Unknown,PIN_Y28,5,B5_N0,LVDS,
HSMC_TX_D_p[0],Output,PIN_D27,6,B6_N0,LVDS,
HSMC_TX_D_n[0],Unknown,PIN_D28,6,B6_N0,LVDS,
HSMC_RX_D_p[0],Input,PIN_F24,6,B6_N0,LVDS,
HSMC_RX_D_n[0],Unknown,PIN_F25,6,B6_N0,LVDS,
HSMC_TX_D_p[1],Output,PIN_E27,6,B6_N1,LVDS,
HSMC_RX_D_n[1],Unknown,PIN_C27,6,B6_N0,LVDS,
HSMC_TX_D_n[1],Unknown,PIN_E28,6,B6_N1,LVDS,
HSMC_RX_D_p[1],Input,PIN_D26,6,B6_N0,LVDS,
HSMC_TX_D_p[2],Output,PIN_F27,6,B6_N1,LVDS,
HSMC_TX_D_n[2],Unknown,PIN_F28,6,B6_N1,LVDS,
HSMC_RX_D_p[2],Input,PIN_F26,6,B6_N1,LVDS,
HSMC_RX_D_n[2],Unknown,PIN_E26,6,B6_N1,LVDS,
HSMC_TX_D_p[3],Output,PIN_G27,6,B6_N1,LVDS,
HSMC_TX_D_n[3],Unknown,PIN_G28,6,B6_N1,LVDS,
HSMC_RX_D_p[3],Input,PIN_G25,6,B6_N0,LVDS,
HSMC_RX_D_n[3],Unknown,PIN_G26,6,B6_N0,LVDS,
HSMC_TX_D_p[4],Output,PIN_K27,6,B6_N1,LVDS,
HSMC_TX_D_n[4],Unknown,PIN_K28,6,B6_N1,LVDS,
HSMC_RX_D_p[4],Input,PIN_H25,6,B6_N1,LVDS,
HSMC_RX_D_n[4],Unknown,PIN_H26,6,B6_N1,LVDS,
HSMC_TX_D_p[5],Output,PIN_M27,6,B6_N2,LVDS,
HSMC_TX_D_n[5],Unknown,PIN_M28,6,B6_N2,LVDS,
HSMC_RX_D_p[5],Input,PIN_K25,6,B6_N1,LVDS,
HSMC_RX_D_n[5],Unknown,PIN_K26,6,B6_N1,LVDS,
HSMC_TX_D_p[6],Output,PIN_K21,6,B6_N0,LVDS,
HSMC_TX_D_n[6],Unknown,PIN_K22,6,B6_N0,LVDS,
HSMC_RX_D_p[6],Input,PIN_L23,6,B6_N1,LVDS,
HSMC_RX_D_n[6],Unknown,PIN_L24,6,B6_N2,LVDS,
HSMC_TX_D_p[7],Output,PIN_H23,6,B6_N0,LVDS,
HSMC_TX_D_n[7],Unknown,PIN_H24,6,B6_N0,LVDS,
HSMC_RX_D_p[7],Input,PIN_M25,6,B6_N2,LVDS,
HSMC_RX_D_n[7],Unknown,PIN_M26,6,B6_N2,LVDS,
HSMC_TX_D_p[8],Output,PIN_J23,6,B6_N0,LVDS,
HSMC_TX_D_n[8],Unknown,PIN_J24,6,B6_N0,LVDS,
HSMC_RX_D_p[8],Input,PIN_R25,5,B5_N0,LVDS,
HSMC_RX_D_n[8],Unknown,PIN_R26,5,B5_N0,LVDS,
HSMC_TX_D_p[9],Output,PIN_P27,6,B6_N2,LVDS,
HSMC_TX_D_n[9],Unknown,PIN_P28,6,B6_N2,LVDS,
HSMC_RX_D_p[9],Input,PIN_T25,5,B5_N0,LVDS,
HSMC_RX_D_n[9],Unknown,PIN_T26,5,B5_N0,LVDS,
HSMC_TX_D_p[10],Output,PIN_J25,6,B6_N1,LVDS,
HSMC_TX_D_n[10],Unknown,PIN_J26,6,B6_N1,LVDS,
HSMC_RX_D_p[10],Input,PIN_U25,5,B5_N0,LVDS,
HSMC_RX_D_n[10],Unknown,PIN_U26,5,B5_N0,LVDS,
HSMC_TX_D_p[11],Output,PIN_L27,6,B6_N2,LVDS,
HSMC_TX_D_n[11],Unknown,PIN_L28,6,B6_N2,LVDS,
HSMC_RX_D_p[11],Input,PIN_L21,6,B6_N0,LVDS,
HSMC_RX_D_n[11],Unknown,PIN_L22,6,B6_N0,LVDS,
HSMC_TX_D_p[12],Output,PIN_V25,5,B5_N1,LVDS,
HSMC_TX_D_n[12],Unknown,PIN_V26,5,B5_N1,LVDS,
HSMC_RX_D_p[12],Input,PIN_N25,6,B6_N2,LVDS,
HSMC_RX_D_n[12],Unknown,PIN_N26,6,B6_N2,LVDS,
HSMC_TX_D_p[13],Output,PIN_R27,5,B5_N0,LVDS,
HSMC_TX_D_n[13],Unknown,PIN_R28,5,B5_N0,LVDS,
HSMC_RX_D_p[13],Input,PIN_P25,6,B6_N2,LVDS,
HSMC_RX_D_n[13],Unknown,PIN_P26,6,B6_N2,LVDS,
HSMC_TX_D_p[14],Output,PIN_U27,5,B5_N0,LVDS,
HSMC_TX_D_n[14],Unknown,PIN_U28,5,B5_N0,LVDS,
HSMC_RX_D_p[14],Input,PIN_P21,5,B5_N0,LVDS,
HSMC_RX_D_n[14],Unknown,PIN_R21,5,B5_N0,LVDS,
HSMC_TX_D_p[15],Output,PIN_V27,5,B5_N1,LVDS,
HSMC_TX_D_n[15],Unknown,PIN_V28,5,B5_N1,LVDS,
HSMC_RX_D_p[15],Input,PIN_R22,5,B5_N0,LVDS,
HSMC_RX_D_n[15],Unknown,PIN_R23,5,B5_N0,LVDS,
HSMC_TX_D_p[16],Output,PIN_U22,5,B5_N0,LVDS,
HSMC_TX_D_n[16],Unknown,PIN_V22,5,B5_N1,LVDS,
HSMC_RX_D_p[16],Input,PIN_T21,5,B5_N0,LVDS,
HSMC_RX_D_n[16],Unknown,PIN_T22,5,B5_N0,LVDS,
HSMC_CLKOUT_p2,Output,PIN_V23,5,B5_N1,LVDS,
HSMC_CLKOUT_n2,Unknown,PIN_V24,5,B5_N1,LVDS,
HSMC_CLKOUT_p1,Output,PIN_G23,6,B6_N0,LVDS,
HSMC_CLKOUT_n1,Unknown,PIN_G24,6,B6_N0,LVDS,
HSMC_CLKOUT0,Unknown,PIN_AD28,5,B5_N2,2.5 V,
HSMC_D[0],Unknown,PIN_AE26,5,B5_N2,2.5 V,
HSMC_D[1],Unknown,PIN_AE28,5,B5_N2,2.5 V,
HSMC_D[2],Unknown,PIN_AE27,5,B5_N2,2.5 V,
HEX0_D[0],Unknown,PIN_G18,7,B7_N2,2.5 V,
HEX0_D[1],Unknown,PIN_F22,7,B7_N0,2.5 V,
KEY[0],Unknown,PIN_M23,6,B6_N2,2.5 V,
KEY[1],Unknown,PIN_M21,6,B6_N1,2.5 V,
KEY[2],Unknown,PIN_N21,6,B6_N2,2.5 V,
KEY[3],Unknown,PIN_R24,5,B5_N0,2.5 V,
SW[1],Unknown,PIN_AC28,5,B5_N2,2.5 V,
SW[2],Unknown,PIN_AC27,5,B5_N2,2.5 V,
SW[3],Unknown,PIN_AD27,5,B5_N2,2.5 V,
SW[4],Unknown,PIN_AB27,5,B5_N1,2.5 V,
SW[5],Unknown,PIN_AC26,5,B5_N2,2.5 V,
SW[6],Unknown,PIN_AD26,5,B5_N2,2.5 V,
HEX0_D[2],Unknown,PIN_E17,7,B7_N2,2.5 V,
HEX0_D[3],Unknown,PIN_L26,6,B6_N1,2.5 V,
HEX0_D[4],Unknown,PIN_L25,6,B6_N1,2.5 V,
HEX0_D[5],Unknown,PIN_J22,6,B6_N0,2.5 V,
HEX0_D[6],Unknown,PIN_H22,6,B6_N0,2.5 V,
HEX1_D[0],Unknown,PIN_M24,6,B6_N2,2.5 V,
SW[7],Unknown,PIN_AB26,5,B5_N1,2.5 V,
SW[8],Unknown,PIN_AC25,5,B5_N2,2.5 V,
SW[9],Unknown,PIN_AB25,5,B5_N1,2.5 V,
SW[10],Unknown,PIN_AC24,5,B5_N2,2.5 V,
SW[11],Unknown,PIN_AB24,5,B5_N2,2.5 V,
SW[12],Unknown,PIN_AB23,5,B5_N2,2.5 V,
SW[13],Unknown,PIN_AA24,5,B5_N2,2.5 V,
SW[14],Unknown,PIN_AA23,5,B5_N2,2.5 V,
SW[15],Unknown,PIN_AA22,5,B5_N2,2.5 V,
SW[16],Unknown,PIN_Y24,5,B5_N2,2.5 V,
SW[17],Unknown,PIN_Y23,5,B5_N2,2.5 V,
HEX1_D[1],Unknown,PIN_Y22,5,B5_N0,2.5 V,
HEX1_D[2],Unknown,PIN_W21,5,B5_N1,2.5 V,
HEX1_D[3],Unknown,PIN_W22,5,B5_N0,2.5 V,
HEX1_D[4],Unknown,PIN_W25,5,B5_N1,2.5 V,
HEX1_D[5],Unknown,PIN_U23,5,B5_N1,2.5 V,
HEX1_D[6],Unknown,PIN_U24,5,B5_N0,2.5 V,
